Auszug Katalog DLA Marbach 08 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_Katalog,Medium,Person_Verfasser,Person_beteiligt,Titel,"Verfasser, beteiligte",Impressum,Verlag normiert,Haupttitel,Titelzusatz,Verfasserangabe,Auflage,Erscheiungsort,Verlag,Jahr,Jahr_normiert,Bandangabe_Mehrb. Weri,Seiten,Ill-Vermerk,Reihe,Reihe_Nummer,Anmerkung,ISBN,Gattung,Art_Inhalt,Sprache,Sprache_Original,Weitere Titel,Signatur,Signatur_Mehrb_Werk
AK00821000,Buch,"Ach, Manfred (1946-) [Verfasser/Urheber]","Bosch, Manfred (1947-) [Verfasser]␟Ziffer, J. J. [Illustrator]",¬Der¬ neue Büchmann : aus dem Wortschwatz einer Klassikergesellschaft - 1. Auflage,"Ach, Manfred; Bosch, Manfred; Ziffer, J. J.","Hamburg : Edition Nautilus, Verlag Lutz Schulenburg, 1977 - 71 Seiten","Ed. Nautilus, Schulenburg",Der neue Büchmann,aus dem Wortschwatz einer Klassikergesellschaft,Dominikus Grosshirn ; Beigefügt: 7 Collagen von J.J. Ziffer,1. Auflage,Hamburg,"Edition Nautilus, Verlag Lutz Schulenburg",1977,1977,,71 Seiten,Illustrationen,Ed. Nautilus Flugschrift ; No. 18,No. 18,Dominikus Grosshirn ist das gemeinsame Pseudonym von Manfred Ach und Manfred Bosch,3-921523-17-6,Sonstige Texte,,Deutsch,,,M,
AK01261107,Buch,"Ach, Manfred (1946-) [Verfasser/Urheber]",,Rampensau : Bühnenreifes vom Mönch,"Ach, Manfred","München : ARW, 2005 - [14] Blatt",ARW,Rampensau,Bühnenreifes vom Mönch,[Manfred Ach],,München,ARW,2005,2005,,[14] Blatt,,Nada-Edition ; 38,38,,3-927890-83-9,Sonstige Texte,,Deutsch,,,M:Kps.,
AK01347675,Buch␟Buchumschlag,"Achleitner, Friedrich (1930-) [Verfasser/Urheber]","Achleitner, Friedrich (1930-) [Fotograf]",¬Den¬ Toten eine Blume : die Denkmäler von Bogdan Bogdanovic,"Achleitner, Friedrich; Achleitner, Friedrich","Wien : Zsolnay, 2013 - 183 Seiten",Zsolnay,Den Toten eine Blume,die Denkmäler von Bogdan Bogdanovic,Friedrich Achleitner. Fotos Friedrich Achleitner,,Wien,Zsolnay,2013,2013,,183 Seiten,zahlr. Ill.,,,,978-3-552-05647-3␟3-552-05647-5,Sonstige Texte␟Nichttextuelle Produktion,,Deutsch,,,M:Quart,
AK00086715,Buch,"Achleitner, Friedrich (1930-) [Verfasser/Urheber]",,Wiener Architektur : zwischen typologischem Fatalismus und semantischem Schlamassel,"Achleitner, Friedrich","Wien [u.a.] : Böhlau, 1996 - 231 Seiten",Böhlau <West>,Wiener Architektur,zwischen typologischem Fatalismus und semantischem Schlamassel,Friedrich Achleitner,,Wien [u.a.],Böhlau,1996,1996,,231 Seiten,Ill.,Kulturstudien : Sonderband ; 9,#NV␟9,,3-205-05388-5,,,Deutsch,,,,
AK00821139,Buch,"Achternbusch, Herbert (1938-2022) [Verfasser/Urheber]","Freyse, Gunter [Fotograf]",¬Die¬ Olympiasiegerin : Filmbuch - 1. Aufl.,"Achternbusch, Herbert; Freyse, Gunter","Frankfurt am Main : Suhrkamp, 1984 - 107 Seiten",Suhrkamp,Die Olympiasiegerin,Filmbuch,Herbert Achternbusch. [Fotos: Gunter Freyse],1. Aufl.,Frankfurt am Main,Suhrkamp,1984,1984,,107 Seiten,Ill.,Suhrkamp-Taschenbuch ; 1037,1037,,3-518-37531-8,,,Deutsch,,,M,
AK00821109,Buch,"Achternbusch, Herbert (1938-2022) [Verfasser/Urheber]",,¬Die¬ Stunde des Todes : Roman,"Achternbusch, Herbert","Frankfurt am Main : Suhrkamp, 1977 - 99 Seiten",Suhrkamp,Die Stunde des Todes,Roman,Herbert Achternbusch,,Frankfurt am Main,Suhrkamp,1977,1977,,99 Seiten,,Suhrkamp-Taschenbuch ; 449,449,,,,,Deutsch,,,M,
AK00821149,Buch,"Achternbusch, Herbert (1938-2022) [Verfasser/Urheber]",,Breitenbach,"Achternbusch, Herbert","Köln : Kiepenheuer & Witsch, 1986 - 130 Seiten",Kiepenheuer & Witsch,Breitenbach,,Herbert Achternbusch,,Köln,Kiepenheuer & Witsch,1986,1986,,130 Seiten,Ill.,,,,3-462-01751-9,,,Deutsch,,,M,
AK00995271,Buch,"Adelmann von Adelmannsfelden, Alfred (1848-1887) [Verfasser/Urheber]",,Am ligurischen Meere : die Naturpracht der Riviera di Ponente,"Adelmann von Adelmannsfelden, Alfred","Stuttgart : Richter & Kappler, 1883 - VIII, 263 Seiten",,Am ligurischen Meere,die Naturpracht der Riviera di Ponente,Alfred Graf Adelmann,,Stuttgart,Richter & Kappler,1883,1883,,"VIII, 263 Seiten",Ill.,,,,,,,Deutsch,,,I,
AK01638291,Buch,"Adelmann, Roland (1965-) [Verfasser/Urheber]",,Lady Gaga braucht ihre Coolness selbst um nicht aus dem Rennen geworfen zu werden,"Adelmann, Roland","[Dortmund] : Rodneys Underground Press, [2017] - 44 Seiten",Rodneys Underground Press,Lady Gaga braucht ihre Coolness selbst um nicht aus dem Rennen geworfen zu werden,,[Roland Adelmann],,[Dortmund],Rodneys Underground Press,[2017],2017,,44 Seiten,,,,,,Lyrik,,Deutsch,,,N:Kps.,
AK00995292,Buch,"Adelung, Sophie von (1850-1927) [Verfasser/Urheber]",,Er muß : Du-Scherz für 2 Damen,"Adelung, Sophie von","Stuttgart : Levy & Müller, [s.a.] - o.A.",Levy & Müller,Er muß,Du-Scherz für 2 Damen,Sophie von Adelung,,Stuttgart,Levy & Müller,[s.a.],,,o.A.,,,,,,,,,,,I,
